Country,Species,Year,TLW
BE,MAC,2007,3.0
BE,MAC,2008,6.0
BE,MAC,2009,10.0
BE,MAC,2010,87.0
BE,MAC,2011,63.0
BE,MAC,2012,132.0
BE,MAC,2013,186.0
BE,MAC,2014,168.0
BE,MEB,2006,0.0
BE,MEB,2007,0.0
BE,MEB,2008,0.0
BE,MEB,2009,0.0
BE,MEB,2010,0.0
BE,MEB,2011,0.0
BE,MEB,2012,0.0
BE,MEB,2013,0.0
BE,MEB,2014,0.0
BE,MEG,2006,0.0
BE,MEG,2007,0.0
BE,MEG,2008,0.0
BE,MEG,2009,0.0
BE,MEG,2010,0.0
BE,MEG,2011,0.0
BE,MEG,2012,0.0
BE,MEG,2013,0.0
BE,MEG,2014,0.0
BE,MGC,2006,0.0
BE,MGC,2007,0.0
BE,MGC,2008,0.0
BE,MGC,2009,0.0
BE,MGC,2010,0.0
BE,MGC,2011,0.0
BE,MGC,2012,0.0
BE,MGC,2013,0.0
BE,MGC,2014,0.0
BE,MNZ,2006,0.0
BE,MNZ,2007,0.0
BE,MNZ,2008,0.0
BE,MNZ,2009,0.0
BE,MNZ,2010,0.0
BE,MNZ,2011,0.0
BE,MNZ,2012,0.0
BE,MNZ,2013,0.0
BE,MNZ,2014,0.0
BE,MOL,2006,0.0
BE,MOL,2007,0.0
BE,MOL,2008,0.0
BE,MOL,2009,0.0
BE,MOL,2010,0.0
BE,MOL,2011,0.0
BE,MOL,2012,0.0
BE,MOL,2013,0.0
BE,MOL,2014,0.0
BE,MUR,2006,134.0
BE,MUR,2007,166.0
BE,MUR,2008,125.0
BE,MUR,2009,99.0
BE,MUR,2010,248.0
BE,MUR,2011,313.0
BE,MUR,2012,228.0
BE,MUR,2013,185.0
BE,MUR,2014,250.0
BE,MUS,2006,0.0
BE,MUS,2007,0.0
BE,MUS,2008,0.0
BE,MUS,2009,0.0
BE,MUS,2010,0.0
BE,MUS,2011,0.0
BE,MUS,2012,0.0
BE,MUS,2013,0.0
BE,MUS,2014,0.0
BE,MZZ,2006,0.0
BE,MZZ,2007,0.0
BE,MZZ,2008,0.0
BE,MZZ,2009,0.0
BE,MZZ,2010,0.0
BE,MZZ,2011,0.0
BE,MZZ,2012,0.0
BE,MZZ,2013,0.0
BE,MZZ,2014,0.0
BE,NEP,2006,685.0
BE,NEP,2007,645.0
BE,NEP,2008,636.0
BE,NEP,2009,845.0
BE,NEP,2010,400.0
BE,NEP,2011,917.0
BE,NEP,2012,1144.0
BE,NEP,2013,950.0
BE,NEP,2014,1507.0
BE,OCZ,2006,105.0
BE,OCZ,2007,145.0
BE,OCZ,2008,93.0
BE,OCZ,2009,133.0
BE,OCZ,2010,207.0
BE,OCZ,2011,279.0
BE,OCZ,2012,383.0
BE,OCZ,2013,335.0
BE,OCZ,2014,137.0
BE,OYF,2006,0.0
BE,OYF,2007,0.0
BE,OYF,2008,0.0
BE,OYF,2009,0.0
BE,OYF,2010,0.0
BE,OYF,2011,0.0
BE,OYF,2012,0.0
BE,OYF,2013,0.0
BE,OYF,2014,0.0
BE,PEE,2006,0.0
BE,PEE,2007,0.0
BE,PEE,2008,0.0
BE,PEE,2009,0.0
BE,PEE,2010,0.0
BE,PEE,2011,0.0
BE,PEE,2012,0.0
BE,PEE,2013,0.0
BE,PEE,2014,0.0
BE,PIL,2006,0.0
BE,PIL,2007,0.0
BE,PIL,2008,0.0
BE,PIL,2009,0.0
BE,PIL,2010,0.0
BE,PIL,2011,0.0
BE,PIL,2012,0.0
BE,PIL,2013,0.0
BE,PIL,2014,6.0
BE,PLE,2006,15417.0
BE,PLE,2007,17198.0
BE,PLE,2008,15659.0
BE,PLE,2009,15023.0
BE,PLE,2010,15602.0
BE,PLE,2011,19031.0
BE,PLE,2012,20064.0
BE,PLE,2013,24684.0
BE,PLE,2014,26605.0
BE,POK,2006,47.0
BE,POK,2007,59.0
BE,POK,2008,25.0
BE,POK,2009,86.0
BE,POK,2010,48.0
BE,POK,2011,9.0
BE,POK,2012,12.0
BE,POK,2013,14.0
BE,POK,2014,21.0
BE,POL,2006,289.0
BE,POL,2007,323.0
BE,POL,2008,271.0
BE,POL,2009,162.0
BE,POL,2010,141.0
BE,POL,2011,147.0
BE,POL,2012,180.0
BE,POL,2013,167.0
BE,POL,2014,323.0
BE,POR,2006,0.0
BE,POR,2007,0.0
BE,POR,2008,0.0
BE,POR,2009,0.0
BE,POR,2010,0.0
BE,POR,2011,0.0
BE,POR,2012,0.0
BE,POR,2013,0.0
BE,POR,2014,0.0
BE,PPX,2006,0.0
BE,PPX,2007,1.0
BE,PPX,2008,2.0
BE,PPX,2009,2.0
BE,PPX,2010,12.0
BE,PPX,2011,37.0
BE,PPX,2012,83.0
BE,PPX,2013,73.0
BE,PPX,2014,12.0
BE,RED,2006,3.0
BE,RED,2007,0.0
BE,RED,2008,0.0
BE,RED,2009,0.0
BE,RED,2010,0.0
BE,RED,2011,0.0
BE,RED,2012,0.0
BE,RED,2013,0.0
BE,RED,2014,0.0
BE,RJB,2006,0.0
BE,RJB,2007,0.0
BE,RJB,2008,0.0
BE,RJB,2009,0.0
BE,RJB,2010,0.0
BE,RJB,2011,0.0
BE,RJB,2012,0.0
BE,RJB,2013,0.0
BE,RJB,2014,0.0
BE,RJC,2006,0.0
BE,RJC,2007,0.0
BE,RJC,2008,1713.0
BE,RJC,2009,1199.0
BE,RJC,2010,1152.0
BE,RJC,2011,1456.0
BE,RJC,2012,1804.0
BE,RJC,2013,1798.0
BE,RJC,2014,1356.0
BE,RJE,2006,0.0
BE,RJE,2007,0.0
BE,RJE,2008,0.0
BE,RJE,2009,0.0
BE,RJE,2010,0.0
BE,RJE,2011,0.0
BE,RJE,2012,3.0
BE,RJE,2013,0.0
BE,RJE,2014,0.0
BE,RJH,2006,0.0
BE,RJH,2007,0.0
BE,RJH,2008,923.0
BE,RJH,2009,886.0
BE,RJH,2010,839.0
BE,RJH,2011,1097.0
BE,RJH,2012,1485.0
BE,RJH,2013,1630.0
BE,RJH,2014,1336.0
BE,RJI,2006,0.0
BE,RJI,2007,0.0
BE,RJI,2008,0.0
BE,RJI,2009,0.0
BE,RJI,2010,120.0
BE,RJI,2011,368.0
BE,RJI,2012,389.0
BE,RJI,2013,322.0
BE,RJI,2014,271.0
BE,RJM,2006,0.0
BE,RJM,2007,0.0
BE,RJM,2008,366.0
BE,RJM,2009,315.0
BE,RJM,2010,265.0
BE,RJM,2011,471.0
BE,RJM,2012,253.0
BE,RJM,2013,93.0
BE,RJM,2014,28.0
BE,RJN,2006,0.0
BE,RJN,2007,0.0
BE,RJN,2008,259.0
BE,RJN,2009,242.0
BE,RJN,2010,224.0
BE,RJN,2011,352.0
BE,RJN,2012,281.0
BE,RJN,2013,304.0
BE,RJN,2014,148.0
BE,RJR,2006,0.0
BE,RJR,2007,0.0
BE,RJR,2008,6.0
BE,RJR,2009,0.0
BE,RJR,2010,0.0
BE,RJR,2011,3.0
BE,RJR,2012,2.0
BE,RJR,2013,13.0
BE,RJR,2014,6.0
BE,SBX,2006,0.0
BE,SBX,2007,0.0
BE,SBX,2008,0.0
BE,SBX,2009,0.0
BE,SBX,2010,0.0
BE,SBX,2011,0.0
BE,SBX,2012,0.0
BE,SBX,2013,0.0
BE,SBX,2014,0.0
BE,SCE,2006,1604.0
BE,SCE,2007,1900.0
BE,SCE,2008,2022.0
BE,SCE,2009,2657.0
BE,SCE,2010,3110.0
BE,SCE,2011,2693.0
BE,SCE,2012,2254.0
BE,SCE,2013,1856.0
BE,SCE,2014,3672.0
BE,SCL,2006,0.0
BE,SCL,2007,0.0
BE,SCL,2008,0.0
BE,SCL,2009,1508.0
BE,SCL,2010,1454.0
BE,SCL,2011,1696.0
BE,SCL,2012,1556.0
BE,SCL,2013,1410.0
BE,SCL,2014,1482.0
BE,SDV,2006,0.0
BE,SDV,2007,0.0
BE,SDV,2008,0.0
BE,SDV,2009,0.0
BE,SDV,2010,0.0
BE,SDV,2011,0.0
BE,SDV,2012,0.0
BE,SDV,2013,3.0
BE,SDV,2014,1.0
BE,SKA,2006,5580.0
BE,SKA,2007,5702.0
BE,SKA,2008,1838.0
BE,SKA,2009,1662.0
BE,SKA,2010,1377.0
BE,SKA,2011,967.0
BE,SKA,2012,453.0
BE,SKA,2013,81.0
BE,SKA,2014,25.0
BE,SKH,2006,39.0
BE,SKH,2007,37.0
BE,SKH,2008,45.0
BE,SKH,2009,29.0
BE,SKH,2010,29.0
BE,SKH,2011,6.0
BE,SKH,2012,24.0
BE,SKH,2013,29.0
BE,SKH,2014,22.0
BE,SMD,2006,0.0
BE,SMD,2007,0.0
BE,SMD,2008,0.0
BE,SMD,2009,0.0
BE,SMD,2010,0.0
BE,SMD,2011,0.0
BE,SMD,2012,0.0
BE,SMD,2013,0.0
BE,SMD,2014,0.0
BE,SOL,2006,11972.0
BE,SOL,2007,11569.0
BE,SOL,2008,11315.0
BE,SOL,2009,12013.0
BE,SOL,2010,11660.0
BE,SOL,2011,10588.0
BE,SOL,2012,9166.0
BE,SOL,2013,8668.0
BE,SOL,2014,10813.0
BE,SOS,2006,0.0
BE,SOS,2007,0.0
BE,SOS,2008,0.0
BE,SOS,2009,0.0
BE,SOS,2010,0.0
BE,SOS,2011,0.0
BE,SOS,2012,0.0
BE,SOS,2013,81.0
BE,SOS,2014,203.0
BE,SPR,2006,3.0
BE,SPR,2007,3.0
BE,SPR,2008,0.0
BE,SPR,2009,0.0
BE,SPR,2010,3.0
BE,SPR,2011,0.0
BE,SPR,2012,3.0
BE,SPR,2013,3.0
BE,SPR,2014,0.0
BE,SQC,2006,243.0
BE,SQC,2007,437.0
BE,SQC,2008,303.0
BE,SQC,2009,250.0
BE,SQC,2010,300.0
BE,SQC,2011,296.0
BE,SQC,2012,401.0
BE,SQC,2013,459.0
BE,SQC,2014,575.0
BE,SQZ,2006,0.0
BE,SQZ,2007,0.0
BE,SQZ,2008,0.0
BE,SQZ,2009,0.0
BE,SQZ,2010,0.0
BE,SQZ,2011,0.0
BE,SQZ,2012,0.0
BE,SQZ,2013,5.0
BE,SQZ,2014,0.0
BE,STU,2006,0.0
BE,STU,2007,0.0
BE,STU,2008,0.0
BE,STU,2009,0.0
BE,STU,2010,0.0
BE,STU,2011,0.0
BE,STU,2012,0.0
BE,STU,2013,0.0
BE,STU,2014,0.0
BE,SYC,2006,0.0
BE,SYC,2007,0.0
BE,SYC,2008,0.0
BE,SYC,2009,0.0
BE,SYC,2010,0.0
BE,SYC,2011,0.0
BE,SYC,2012,0.0
BE,SYC,2013,13.0
BE,SYC,2014,5.0
BE,SYT,2006,0.0
BE,SYT,2007,0.0
BE,SYT,2008,0.0
BE,SYT,2009,0.0
BE,SYT,2010,0.0
BE,SYT,2011,0.0
BE,SYT,2012,0.0
BE,SYT,2013,0.0
BE,SYT,2014,81.0
BE,TUR,2006,1118.0
BE,TUR,2007,1218.0
BE,TUR,2008,1071.0
BE,TUR,2009,1151.0
BE,TUR,2010,1002.0
BE,TUR,2011,1157.0
BE,TUR,2012,1252.0
BE,TUR,2013,1211.0
BE,TUR,2014,1312.0
BE,USK,2006,0.0
BE,USK,2007,0.0
BE,USK,2008,0.0
BE,USK,2009,0.0
BE,USK,2010,0.0
BE,USK,2011,0.0
BE,USK,2012,0.0
BE,USK,2013,0.0
BE,USK,2014,0.0
BE,WEG,2006,0.0
BE,WEG,2007,0.0
BE,WEG,2008,0.0
BE,WEG,2009,0.0
BE,WEG,2010,0.0
BE,WEG,2011,0.0
BE,WEG,2012,0.0
BE,WEG,2013,36.0
BE,WEG,2014,92.0
BE,WHE,2006,365.0
BE,WHE,2007,296.0
BE,WHE,2008,309.0
BE,WHE,2009,303.0
BE,WHE,2010,354.0
BE,WHE,2011,331.0
BE,WHE,2012,222.0
BE,WHE,2013,258.0
BE,WHE,2014,249.0
BE,WHG,2006,900.0
BE,WHG,2007,761.0
BE,WHG,2008,927.0
BE,WHG,2009,973.0
BE,WHG,2010,1033.0
BE,WHG,2011,770.0
BE,WHG,2012,867.0
BE,WHG,2013,1071.0
BE,WHG,2014,1083.0
BE,WIT,2006,0.0
BE,WIT,2007,0.0
BE,WIT,2008,0.0
BE,WIT,2009,0.0
BE,WIT,2010,0.0
BE,WIT,2011,0.0
BE,WIT,2012,6.0
BE,WIT,2013,215.0
BE,WIT,2014,239.0
BE,WRA,2006,0.0
BE,WRA,2007,0.0
BE,WRA,2008,0.0
BE,WRA,2009,0.0
BE,WRA,2010,0.0
BE,WRA,2011,0.0
BE,WRA,2012,0.0
BE,WRA,2013,2.0
BE,WRA,2014,15.0
CN,ALB,2006,30.0
CN,ALB,2007,18.0
CN,ALB,2008,0.0
CN,ALB,2009,0.0
CN,ALB,2010,0.0
CN,ALB,2011,0.0
CN,ALB,2012,0.0
CN,ALB,2013,0.0
CN,ALB,2014,0.0
CN,BET,2006,116.0
CN,BET,2007,10.0
CN,BET,2008,0.0
CN,BET,2009,0.0
CN,BET,2010,0.0
CN,BET,2011,0.0
CN,BET,2012,0.0
CN,BET,2013,0.0
CN,BET,2014,0.0
CN,BFT,2006,84.0
CN,BFT,2007,144.0
CN,BFT,2008,236.0
CN,BFT,2009,82.0
CN,BFT,2010,76.0
CN,BFT,2011,72.0
CN,BFT,2012,72.0
CN,BFT,2013,76.0
CN,BFT,2014,0.0
CN,BSH,2006,0.0
CN,BSH,2007,0.0
CN,BSH,2008,0.0
CN,BSH,2009,0.0
CN,BSH,2010,4.0
CN,BSH,2011,2.0
CN,BSH,2012,0.0
CN,BSH,2013,0.0
CN,BSH,2014,0.0
CN,SAI,2006,0.0
CN,SAI,2007,0.0
CN,SAI,2008,0.0
CN,SAI,2009,0.0
CN,SAI,2010,0.0
